YEAR,MONTH/STATIONS,GITEGA,BUTAMWA,KIGALIAERO,BUSASAMANA NYANZ,NYAMIYAGA,RURANGAZI,CYILIRiceCooper,KIGEMBE,GAKOMA,MUKINDOSECTOR,RUNYOMBI,CYAHINDA,KIBEHO,NYAKIBANDAGRAND,SIMBI,BURUHUKIRO,CYANIKA,GIKONGOROMET,KIGEME,GATARE,KADUHA,MUSHUBI,MUDASOMWATARE,GITWE,BYIMANA,KINAZI,KIGOMARUHANGO,KIVUMU,KIBANGU,NYABINONI,NYAMABUYE,RUGENDABARI,GIHINGAGACUR,KAYENZI,MUGINA,GISHYITA,RUBENGERAMET,RUGABANO,TWUMBA,BONEZA,GIHANGO,MURUNDA,RYABIZIGE,GISENYIAERO,KANAMA,NYUNDO,BIGOGWE,RWANKERINYABIHU,GATUMBA,MURAMBAPAROISSE,KABAYA,NYANGENGOR,SOVU,BUGARAMARIZ,KAMEMBEAERO,NKANKA,NYAKABUYE,NTENDEZI,CYATO,NYAMASHEKE,KANJONGO,KIRIMBI,SHANGI,CYINZUZI,RUTONGO,MUGAMBAZImuramb,RUKOZO,RUSIGA,CYABINGO,JANJA,MINAZI,NEMBA,RULIMUSASA,RUSHASHI,REMERARUHONDO,BUSOGOISAE,RUHENGERIAERO,KINIGI,NYANGEMUSANZE,SHINGIRO,BUTARO,KAGOGO,NTARUKA,RUHUNDE,RWESERO,BYUMBAMET,MULINDIUSINE,KABEZANYAM,GISHARI,RWAMAGANA,NZIGE,NYAKIGANYAGATAR,KAGITUMBA,NYAGATARE,RWEMPASHA,GASANGE,KABARORE,KIZIGURO,NGARAMA,NYAGAHANGAEFA,RWIMBOGO,GAHINI,KABARONDO,MURUNDI,KAYONZA,MWIRI,KAWANGIRE,NDEGO,KIREHE,MPANGA,NYAMUGALIKIREHE,NYARUBUYE,JARAMA,KIBUNGOKAZO,SAKE,ZAZA,NYAMATA,RUHUHA,JURU
2021,November,104.3,131.8,84.3,207.1,-99,114.8,132.6,120.6,95.9,88.8,125,173.1,150.5,118.2,96.8,160.8,172.4,173.7,-99,95,111.8,88.7,175.1,103.7,117.4,71.8,131.6,115.9,88.6,74,77.6,129.4,92.1,88.9,83.8,-99,113.9,132.9,169,218.4,-99,84.1,64.3,86.1,55,66.9,135.5,112.9,146.8,-99,62.2,145.1,-99,97.8,125.4,132.7,201.2,188.6,99.9,96.1,119.4,116,112,103.6,62.6,-99,74.7,94.8,187.5,149.8,86.5,182.8,89.3,103.8,182.9,138.2,100,-99,55.4,69.5,111.4,127.1,96.9,68.4,86.9,97,64.4,-99,113.8,111.4,67.4,109.7,154.8,43,65.7,45,73.5,127.1,106.1,90.2,219.3,132.4,42,38.7,75.2,92.8,97.4,36.7,42.4,77,64.2,102,84.6,86.3,86.5,103.6,67.5,84.9,11.3
2021,December,93.6,85.7,101.9,89.8,127.8,76.4,87.7,123.3,-99,155.1,-99,124.4,126,130.8,93.4,171.3,108.9,142.2,224.6,163.1,131.5,148.4,91.6,80.3,137.2,128.6,91,114.1,119.9,81.3,122.8,128.7,145.4,130.2,120.6,65.5,113.5,182.1,211.6,200.4,108,97.6,86.4,94.7,112.6,81.6,118.6,257.6,139.6,127.9,169.8,238.1,175.4,69,76.5,55.4,123.3,199.4,83.4,80.8,64.3,55.5,93.8,111.3,111.9,-99,131.1,184.1,213.6,163.9,102.2,219.4,80.5,107.3,152.7,229.2,138.7,149.8,84.8,117.5,125.2,68.2,130.8,109.6,83.6,139.2,170,163.5,134.3,72.6,85.6,150.7,157.2,153.1,103.8,150.4,169.7,126.6,160.9,187.9,185.2,101.5,128.5,125.5,68.5,97.7,119.3,98,63.2,76.5,88.9,67.3,188.7,193.2,135,159.8,55.5,82.7,121.2
2022,January,79,121.3,3.9,145.8,91.8,176.7,68.7,156.3,-99,99.7,92.2,101.7,132.6,163.3,83.8,-99,151,193.1,124.3,155.6,188.8,116,157.6,178.1,178.9,126.8,141.1,94.7,163.8,180.9,55.8,187.4,165.2,124.6,107.2,189.9,160.4,131.2,180.8,205.5,185.9,146.8,142.6,221.7,191,152.8,87.2,90.9,151.8,207.9,236.9,91.7,111.9,89,146.6,141.6,136,207.6,159.6,136.5,115.7,183.9,146,73.3,116.1,89.3,60,138.1,67.9,218.2,98.5,85.1,115.5,123.9,81.9,106.2,56.6,123.6,56.7,82.5,82.1,94.6,65.7,66.3,77.1,50.8,58.7,122.3,121.3,74.2,98.8,43.7,15.7,35.1,29.3,53.4,64.5,78.7,16.6,34.5,58.6,18.4,74.6,36.3,28.1,46.7,90.8,35.2,69.2,109.5,36.5,33.7,86.7,68.8,50.6,61.6,189,122.7,140.2
2022,February,206,206.1,186.4,249.7,211.9,188.2,139.8,123.1,-99,108.8,265.7,180.8,247.1,178.8,219.7,-99,200.2,245.4,277.5,-99,333.2,301.1,313,150.7,242.3,170.7,262.4,194.8,145.8,231.6,182.9,317.9,222.6,242.1,137.2,126.6,144.5,153.7,249.9,212.9,283.1,236.7,136.4,91.5,202,114.6,139.8,153.2,176,193.8,186.6,229.9,215.3,139.3,197.2,235.8,274.1,330.2,242,204.1,258.9,122.8,178,201.8,252.3,153.2,175.9,283.2,88.4,217,189.9,175.3,129.3,310.9,125.9,174.3,81.2,47,79.4,80.9,168.2,121.8,123.4,213.4,209.2,206,154.5,173.1,175.6,-99,-99,82.1,81.9,85.4,118.2,195.9,126.6,174.9,81.2,136,186.8,150.7,228.7,229,164.5,203,184.7,190.2,152.7,136.2,-99,103.1,207,223.7,156.1,181.9,194.4,123.9,175.9
2022,March,137,96.4,145.6,103.8,160,110.8,133,154.7,86.4,205.3,98.4,117.4,163.1,110.9,128.5,-99,109.7,99.8,121,163.9,94.8,126.5,173.1,56.7,122.4,130.8,91.1,138,125.5,124.8,-99,199.1,126.8,118.2,80.6,149.7,182.6,242.4,130.6,167.5,139.6,98.3,144.3,84.7,154.8,141.7,121.6,125.8,192.7,174.2,177.6,86.1,150.3,167.8,202.8,180,207,263,246.1,199.2,171.8,233.5,210.8,166.2,195.2,158.1,167.2,233.2,141.3,165.2,160,168.5,98.9,220.3,149.1,137,129.9,179.2,52.5,106.5,145.6,161,186.8,235.4,-99,138.9,-99,152,140.8,140.5,107,76.3,95.4,99.2,93.9,101.9,96,124.7,90.9,169,80.1,70.2,108.6,45.7,66,112,110.9,69.1,75.4,117.7,134.9,93.2,127.7,71.1,74.9,137.4,104,93,45.6
2022,April,121.7,111.6,-99,234.2,185.5,277,156.9,149.3,168.3,209.1,227.1,185.2,172.5,130.2,165.4,-99,140.5,161.7,210.8,243.7,243.4,250.7,174.5,190.5,156,157.7,149.3,153,167.9,206,110.8,165.6,195.9,160.1,204.5,325.9,201.1,194.7,385.9,285.5,214.1,217.9,166.3,158.6,182.6,94.1,194.9,193.2,191.6,152.1,208.7,139.4,345.9,205.1,327.2,223.7,230.1,320.7,251.8,176.9,149,302.1,258.7,139.6,160.7,144,195.4,-99,167.4,154.6,159.9,205.2,150.7,124,163.2,190.1,162.1,264.2,183.6,151.8,227.9,148.3,166.2,184.5,146,269,-99,173.6,203.9,159.8,129,124,80.9,-99,123.8,154.7,141.5,131.4,121,165.7,221,149.7,210.1,68.7,186.9,192.1,210.5,73.1,101,113,-99,117.6,136.9,174.8,-99,195,167.5,211,81.6
2022,May,37.9,56.6,33.2,237.1,84.4,90.9,100.8,122.3,95.9,60.2,29.4,49.2,80,57.8,-99,-99,137.8,121.3,181.1,221.9,113.1,132.1,201.8,108.4,98.7,69.4,39.8,123.2,194,-99,-99,-99,112.9,72.9,73.8,145.7,86.8,83.8,106.8,172.7,91.8,116.6,92.4,57.2,71.4,112.5,117.4,101.9,148.6,124.7,182.2,126.7,99.4,98.2,95.7,102.8,148.6,165.9,215.5,103.2,79.8,145.4,-99,88.8,73.9,67.4,90.8,142.6,80.6,146,116.6,-99,58.2,-99,98,151.7,197.8,158.6,139.7,-99,105.8,66.7,139.1,101.8,63.2,117.8,85.4,68.2,60.3,72.8,53.1,53.7,36,28,105.5,15.9,85.4,36.8,77.9,130.9,81.2,47.8,58.9,70.9,22.6,-99,61.3,59.5,24.1,91.3,27.5,70.4,59.3,53.4,53.9,62.5,40.8,38.7,29.7
2022,June,4.8,1.6,9.4,0.3,3.9,0.5,0,1.8,0,0.7,0.9,0,3.4,1.5,6,-99,13.1,13.4,7.6,11.9,3.9,2.3,5.9,0.6,12.4,1.7,0,2.5,3.4,4.4,6.2,2.2,1,2.5,11.4,12.3,14,7.3,22.5,4.1,0.2,7.6,57.5,30.2,65.7,32.5,19.9,18,3.7,-99,10.5,7.8,11.2,2,11,26.6,-99,25.8,16.5,4.3,12.2,39.9,0,14.5,6.2,6.5,2.4,9.4,3.9,5.4,4,4.7,13.1,7.7,9.7,29.8,25.4,47.8,31.1,25.7,3,7,5.9,11,-99,12.4,1.7,3.9,0,5.8,0,2.1,8.9,0.6,5.6,19.5,1.2,42,4.5,5.9,0,0.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1,5.7,0
2022,July,4.2,-99,13.5,0,2.5,13,0,-99,0,0,-99,0.1,16,0.3,-99,10.2,1.1,3.1,2.8,35.2,39.7,41.4,6.3,24.6,57.2,0.2,49,10.3,-99,-99,-99,-99,2.5,28.3,2.4,31.2,11.5,21.7,-99,28.4,5.4,43.8,36.9,25.5,46.3,73.4,13.2,39.7,5.3,10.6,5,3.8,0,3.1,64.4,42.2,54.2,38.6,30.5,57,52.8,55.5,110.8,0.4,2.8,6.3,1.9,2.1,21.2,22.5,3.4,4.4,1,1.5,18.5,32.7,17.2,22.6,21.5,-99,10.4,8.7,17.8,2.7,-99,2.5,25.1,2.7,-99,14.5,20.5,-99,13.9,36.1,24.6,1.6,3.6,0,-99,15.3,8,-99,8,-99,13.6,16.1,3.1,2.4,0,2.4,0,4.8,14.1,4.4,37.2,15.8,0.4,0,1.5
2022,August,61.3,57.7,90,81.5,30.3,151.2,102,79.6,-99,62.5,-99,85.1,146.8,76.9,143.1,-99,132.1,136.1,175.4,169.9,144.9,121.9,143.5,90,117,149.7,48.2,90.7,128.7,117,82,111.5,85.5,135.2,96.2,148.6,131.7,78.1,185.7,126.6,143,89.8,246.6,143,-99,68.5,89.8,150.7,113.9,90.5,123.2,100.7,105.9,41.6,44.3,60,51.2,133.6,146.8,141,126.9,117.2,82.7,153.8,198,150.2,143.7,148.3,143.6,160.6,124.9,136.8,155.7,134.4,161.9,163.6,-99,178.7,174.8,175.3,204.5,189.4,158.6,133.1,135.9,166.7,195.1,159.9,56.7,103,46.5,66.5,82.4,65,89.7,114.2,98.6,139.6,-99,163.2,79.2,77.8,54.9,109.8,23.7,54.8,64.6,9.6,23.8,57.6,4.5,20.4,81.1,34.6,61.8,62.1,130.2,154.9,71.2
